Site Category,Image Src,Code,Title,Price,Body (HTML),Collection,Vendor,Weight,Weight Unit,Status
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200094.jpg,ULT200094,Textured Cardstock 12x12 - Pacific/Cadet ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200095.jpg,ULT200095,Textured Cardstock 12x12 - Latte/Chai ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200096.jpg,ULT200096,Textured Cardstock 12x12 - Oatmeal/Oats ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200097.jpg,ULT200097,Textured Cardstock 12x12 - Seafoam/Sea Green ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200098.jpg,ULT200098,Textured Cardstock 12x12 - Stargaze/Galaxy ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200099.jpg,ULT200099,Textured Cardstock 12x12 - Shadow/Twilight ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200009.jpg,ULT200009,Textured Cardstock 12x12 - Blueberry/Endless Dusk ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200010.jpg,ULT200010,Textured Cardstock 12x12 - Denim/Midnight Hour ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200011.jpg,ULT200011,Textured Cardstock 12x12 - Sapphire/Mystique ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200012.jpg,ULT200012,Textured Cardstock 12x12 - Marine/Ulysses Blue ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200013.jpg,ULT200013,Textured Cardstock 12x12 - Peacock/Seafoam ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200014.jpg,ULT200014,Textured Cardstock 12x12 - Wave/Blue Moon ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200015.jpg,ULT200015,Textured Cardstock 12x12 - Pool/Mermaid ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200016.jpg,ULT200016,Textured Cardstock 12x12 - Ocean/Cool Breeze ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200017.jpg,ULT200017,Textured Cardstock 12x12 - Sky/Blue Diamond ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200018.jpg,ULT200018,Textured Cardstock 12x12 - Lagoon/Blue Jay ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200019.jpg,ULT200019,Textured Cardstock 12x12 - Rain/Ice Crystal ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200020.jpg,ULT200020,Textured Cardstock 12x12 - Fountain/Charming ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200021.jpg,ULT200021,Textured Cardstock 12x12 - Geyser/Caloden ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200022.jpg,ULT200022,Textured Cardstock 12x12 - Powder/Cascade ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200023.jpg,ULT200023,Textured Cardstock 12x12 - Robin Egg/Aquamarine ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200024.jpg,ULT200024,Textured Cardstock 12x12 - Mint/Verde ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200025.jpg,ULT200025,Textured Cardstock 12x12 - Key Lime/Mantis ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200026.jpg,ULT200026,Textured Cardstock 12x12 - Limeade/Chartreuse ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200027.jpg,ULT200027,Textured Cardstock 12x12 - Cricket/Chrysalis ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200028.jpg,ULT200028,Textured Cardstock 12x12 - Shamrock/Peridot ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200029.jpg,ULT200029,Textured Cardstock 12x12 - Aqua/Spectrum ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200030.jpg,ULT200030,Textured Cardstock 12x12 - Cascade/Caruso ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200031.jpg,ULT200031,Textured Cardstock 12x12 - Pine/Cypress Pine ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200032.jpg,ULT200032,Textured Cardstock 12x12 - Evergreen/Shamrock ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
